Base Model,Temperature,Normal,Trap,Overall,Factual,Practical,CodeReviewTrap,HallucinationTrap,Custom
Qwen2.5-3B-Instruct,0,3.96,4.22,3.99,4.14,3.83,4.8,3.5,3.58
Qwen2.5-3B-Instruct,0.5,3.86,4.56,3.94,4.1,3.71,4.8,4.25,3.69
Qwen2.5-3B-Instruct,1.0,4.12,3.67,4.07,4.14,4.19,5.0,2.0,3.91
Phi-3.5-mini-instruct,0,3.99,4.22,4.01,4.14,3.79,5.0,3.25,4.0
Phi-3.5-mini-instruct,0.5,4.03,4.22,4.05,4.14,3.92,5.0,3.25,4.12
Phi-3.5-mini-instruct,1.0,3.96,4.0,3.96,4.0,4.0,4.8,3.0,3.77
Qwen2.5-Coder-7B-Instruct,0,4.13,3.67,4.08,4.05,4.54,5.0,2.0,3.92
Qwen2.5-Coder-7B-Instruct,0.5,3.96,4.0,3.96,4.0,4.0,4.8,3.0,3.77
Qwen2.5-Coder-7B-Instruct,1.0,4.2,4.11,4.19,3.95,4.5,5.0,3.0,4.42
Mistral-Nemo-Instruct-2407,0,4.43,3.78,4.36,4.33,4.71,5.0,2.25,4.46
Mistral-Nemo-Instruct-2407,0.5,4.42,3.56,4.32,4.33,4.62,5.0,1.75,4.27
Mistral-Nemo-Instruct-2407,1.0,4.35,3.33,4.23,4.29,4.5,5.0,1.25,4.38
