Model,Normal Score Average,Trap Score Average,Overall Average,Normal Score Count,Trap Question Count
TinyLlama-1.1B-Chat-v1.0,3.12,1.89,2.97,69,9
Qwen2.5-3B-Instruct,3.96,4.22,3.99,69,9
Mistral-7B-Instruct-v0.3,4.14,3.33,4.05,69,9
Llama-3.2-3B-Instruct,3.89,4.22,3.93,66,9
Phi-3.5-mini-instruct,3.99,4.22,4.01,69,9
PHI-4-MINI-INSTRUCT,,,,0,0
Qwen2.5-7B-Instruct,3.99,4.0,3.99,69,9
Qwen2.5-Coder-7B-Instruct,4.13,3.67,4.08,69,9
WhiteRabbitNeo-2.5-Qwen-2.5-Coder-7B,4.1,3.56,4.04,69,9
Lily-Cybersecurity-7B-v0.2,4.06,3.0,3.94,69,9
SenecaLLM_x_Qwen2.5-7B-CyberSecurity,4.04,3.67,4.0,69,9
Gemma-2-9B-it,3.96,4.11,3.97,69,9
Mistral-Nemo-Instruct-2407,4.43,3.78,4.36,69,9
