Model,Normal Score Average,Trap Score Average,Overall Average,Normal Score Count,Trap Question Count,Factual,Practical,CodeReviewTraps,HallucinationTraps
TinyLlama-1.1B-Chat-v1.0,3.12,1.89,2.97,69,9,3.33,2.5,2.6,1.0
Qwen2.5-3B-Instruct,3.96,4.22,3.99,69,9,4.12,3.83,4.8,3.5
Mistral-7B-Instruct-v0.3,4.14,3.33,4.05,69,9,4.12,4.38,4.8,1.5
Llama-3.2-3B-Instruct,3.89,4.22,3.93,66,9,4.08,3.95,5.0,3.25
Phi-3.5-mini-instruct,3.99,4.22,4.01,69,9,4.12,3.79,5.0,3.25
PHI-4-MINI-INSTRUCT,,,,0,0,,,,
Qwen2.5-7B-Instruct,3.99,4.0,3.99,69,9,4.0,3.79,5.0,2.75
Qwen2.5-Coder-7B-Instruct,4.13,3.67,4.08,69,9,4.04,4.54,5.0,2.0
WhiteRabbitNeo-2.5-Qwen-2.5-Coder-7B,4.1,3.56,4.04,69,9,3.96,4.17,4.8,2.0
Lily-Cybersecurity-7B-v0.2,4.06,3.0,3.94,69,9,4.08,4.17,4.6,1.0
SenecaLLM_x_Qwen2.5-7B-CyberSecurity,4.04,3.67,4.0,69,9,4.0,4.5,4.8,2.25
Gemma-2-9B-it,3.96,4.11,3.97,69,9,4.12,3.75,5.0,3.0
Mistral-Nemo-Instruct-2407,4.43,3.78,4.36,69,9,4.29,4.71,5.0,2.25
